food,total,kids,age
36.5,90,2,33
24.3,70,1,29
33.2,140,2,36
40.4,180,2,31
71.6,160,2,43
24.9,70,1,43
61.6,240,1,45
20.5,90,2,33
37.7,110,1,34
56.8,160,2,33
27.2,100,2,37
39.1,100,2,39
34.8,80,2,25
24.2,90,2,40
39.3,200,2,55
20.1,80,2,32
38.4,90,2,40
37.4,120,1,46
35.4,90,1,31
23.3,110,1,31
60.1,140,1,41
20.5,60,2,32
52.4,220,2,31
66.2,160,2,39
34.5,70,2,35
30.2,50,2,31
28,80,2,34
44.7,130,2,40
23.5,90,2,33
20.6,90,1,46
29.7,90,2,35
30.1,110,2,41
7.5,40,1,26
27.1,60,2,27
54.1,120,2,40
24,120,1,34
16,90,1,34
26.2,80,1,60
24.3,60,1,19
30.3,60,2,30
20.6,70,2,29
33,120,1,42
21.1,70,1,32
38.4,100,2,25
30.8,100,2,39
33.6,70,2,37
36.4,80,2,37
19.7,80,2,37
37.7,90,1,42
29.1,80,2,31
35.9,130,1,40
39.6,130,1,40
21.9,50,2,25
25.3,70,1,29
37.5,120,2,32
18.3,100,1,40
16.8,60,2,32
24.3,60,1,43
31.1,130,2,37
39.5,90,1,48
27.3,90,2,35
7.8,50,1,41
50.7,210,2,36
23.1,50,2,27
26.2,70,2,35
41,90,2,35
35,150,2,32
53.9,210,1,53
23.8,70,2,26
22.2,50,2,42
15.5,40,2,32
45,130,2,34
19.5,50,2,34
51.9,110,2,46
35.8,140,2,40
58.3,110,2,39
73.6,190,2,47
26,160,1,26
46.7,140,2,42
15.4,270,1,34
21.1,50,1,31
24.3,60,2,37
25.4,100,1,24
31.8,60,1,21
54.1,190,2,34
24.9,40,1,47
37,90,2,29
19.5,70,2,34
33,100,2,38
78.8,130,2,44
26.4,140,1,27
